# name	source_path	targets	tier	policy	reason
setup-matt-pocock-skills	$HOME/Code/joelhooks/dark-wizard/skills/setup-matt-pocock-skills	claude,codex,opencode-config-skill,pi-agent	1	symlink	Compatibility trigger that sets up Brain/tracker/domain wiring, not vanilla Matt defaults.
grill-with-docs	$HOME/Code/joelhooks/dark-wizard/skills/grill-with-docs	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Grill plans against project language, Brain SVX notes, docs, and ADRs while updating docs inline.
diagnose	$HOME/Code/joelhooks/dark-wizard/skills/diagnose	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Diagnose with feedback loops, logs, pi sessions, Brain/SVX receipts, and validation.
tdd	$HOME/Code/joelhooks/dark-wizard/skills/tdd	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Run red-green-refactor through public interfaces and capture durable test/interface decisions in SVX.
triage	$HOME/Code/joelhooks/dark-wizard/skills/triage	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Brain-first triage across issues, support threads, pi-notes, and session history.
to-prd	$HOME/Code/joelhooks/dark-wizard/skills/to-prd	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Create Brain-first SVX PRDs before tracker mirrors.
to-issues	$HOME/Code/joelhooks/dark-wizard/skills/to-issues	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Convert Brain/project SVX plans into vertical AFK/HITL issue slices.
zoom-out	$HOME/Code/joelhooks/dark-wizard/skills/zoom-out	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Map code, Brain SVX notes, dotfiles, pi-notes, and session history before acting.
improve-codebase-architecture	$HOME/Code/joelhooks/dark-wizard/skills/improve-codebase-architecture	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Find architecture improvements grounded in code, Brain SVX notes, ADRs, and session friction.
prototype	$HOME/Code/joelhooks/dark-wizard/skills/prototype	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Explore throwaway UI or logic prototypes and capture the answer in Brain/SVX before cleanup.
handoff	$HOME/Code/joelhooks/dark-wizard/skills/handoff	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Create durable Joel handoffs in Brain/project SVX notes before ephemeral transfer docs.
